"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vim",387.982206970006,-0.301919759316229,0.12775764100526,-2.36322271560883,0.0181167783846066,0.0861612069422444
"Stag1",76.8411164328199,-0.514730601299098,0.218221068029542,-2.35875759360419,0.0183362289537929,0.0871073426921234
"Tagln2",204.329315067681,-0.352478858003851,0.149528489010327,-2.35726890799724,0.0184099099335715,0.0871648689942898
"Dcun1d5",77.718752843088,-0.504864408518146,0.214098261031036,-2.35809672664721,0.0183689059692581,0.0871648689942898
"Bex3",54.5278273805255,-0.591347844607452,0.250825321112072,-2.35760824300203,0.0183930921279305,0.0871648689942898
"Srpr",97.4082927845432,-0.487587864536092,0.20702994855792,-2.35515618842788,0.0185149216574287,0.0875644457450997
"Adgre1",368.39330676178,-0.277421779780002,0.117887994976573,-2.35326574037612,0.0186093294705335,0.087913039222865
"Stub1",91.8405393756798,-0.46864934599596,0.199510989414879,-2.34899013518204,0.0188244055327885,0.0888302781086142
"Nudc",125.428814649287,-0.41854769800456,0.178302203020535,-2.3474062065086,0.0189046321492916,0.0891033395707068
"Tsc22d3",101.675641371343,-0.536533216439289,0.228601879877227,-2.3470201414242,0.0189242317618972,0.0891033395707068
"Vdac1",111.081665940595,-0.448918809653217,0.191731889193396,-2.34138833942434,0.0192121718896064,0.0903589081009504
"Psma3",236.57653306816,-0.320204492850626,0.136789067248048,-2.34086319391285,0.0192392154566591,0.0903701202458324
"Cebpz",95.3250508739575,-0.45140807188158,0.192866902347724,-2.34051600552865,0.0192571129791566,0.0903701202458324
"Aff4",119.419040113239,-0.447550765266075,0.191346937943307,-2.33894918871749,0.019338063338837,0.0906498399558948
"Prkar1a",170.983700047363,-0.363130237274978,0.155554552656659,-2.33442371870967,0.0195735460227376,0.0916525357867327
"Unc93b1",696.116173903169,-0.237725906852721,0.101976566850288,-2.3311817037509,0.0197437804828969,0.0923478366859728
"Fbrs",51.7226655753263,0.594216026659826,0.254985018605969,2.33039584014962,0.0197852394359118,0.0924399470674559
"Ifngr1",368.378559299834,-0.280924923658472,0.120708219571323,-2.32730566862916,0.0199490022893779,0.093102651343943
"Ptges3",162.708312405478,-0.375470369395544,0.161424609683383,-2.32597972596612,0.0200196322749729,0.0932896739659351
"App",289.594679471115,-0.317044508686876,0.136320481049403,-2.32572909254903,0.0200330074539517,0.0932896739659351
"Atp6v1d",120.41848491954,-0.406453531714337,0.174857578547465,-2.32448336006211,0.0200996023826682,0.0934972741721708
"Rnf213",117.043110611746,0.426925930842215,0.18394843325032,2.32090006584209,0.0202922380038721,0.0942900818407494
"Cdk12",91.4852035413048,-0.476209506746341,0.205424770212054,-2.31816984025229,0.02044009245137,0.0948733034327523
"Ndufa12",107.252328165636,-0.488689051944796,0.211204195629141,-2.31382265152961,0.0206774523200048,0.0958702401780133
"Txnl1",112.122496428965,-0.444336168989509,0.192093866518529,-2.31312002326035,0.0207160411129705,0.0959444128754479
"Swi5",158.643607578807,-0.398928604901426,0.172515796388067,-2.31241783798194,0.0207546682851787,0.0960186015328474
"Ppig",174.39007171458,-0.354687377922189,0.153660523406997,-2.30825308971998,0.020985063904651,0.0969788535397743
"Rbms1",138.108478553453,-0.379203398596844,0.164692866950019,-2.30248829605914,0.0213076507043905,0.0982372071614736
"Vps33a",36.2744849545538,0.737880067172321,0.320517892294309,2.30214938046197,0.0213267494708921,0.0982372071614736
"Blvrb",448.020940002062,-0.265093769100114,0.11511723194669,-2.30281570028435,0.0212892147809074,0.0982372071614736
"Twistnb",67.2266320812507,-0.52323678967549,0.227557182556317,-2.29936398314299,0.0214842793559969,0.098855616928406
"Irf2bpl",117.84361797354,-0.415722228975226,0.181020089123406,-2.29655300131809,0.0216442823529238,0.099484055360246
"Snx3",269.886718990376,-0.291000778509287,0.126885341043371,-2.29341526859134,0.0218241084154594,0.100202149665358
"Eif2s2",246.647089397274,-0.308665930783188,0.134744206402596,-2.29075474949134,0.0219776021257172,0.100797922492355
